OBJECTID,COUSUBNS,GEOID,NAMELSAD,CLASSFP,ALAND,AWATER,INTPTLAT,INTPTLON
1,1938605,4800190650,Cayuga CCD,Z5,279515087,5389617,31.9345624,-95.9599907
2,1938719,4800191205,Elkhart CCD,Z5,617466407,5935513,31.6232277,-95.5131055
3,1938755,4800191390,Frankston CCD,Z5,483306613,7864313,31.9714795,-95.5524385
4,1939004,4800192615,Montalba-Tennessee Colony CCD,Z5,579379016,10404133,31.8907621,-95.8034027
5,1939070,4800192945,Palestine CCD,Z5,792497705,10251470,31.7623956,-95.6074474
6,1938492,4800390085,Andrews North CCD,Z5,2634306099,30529,32.3602551,-102.7105231
7,1938493,4800390090,Andrews South CCD,Z5,1252544160,926510,32.176548,-102.4688186
8,1938687,4800591045,Diboll CCD,Z5,307985060,4087576,31.1748608,-94.7388521
9,1938852,4800591855,Huntington CCD,Z5,643731301,59483598,31.2496168,-94.5378742
10,1938946,4800592325,Lufkin CCD,Z5,305761947,5774903,31.3437681,-94.7211733
11,1939099,4800593090,Pollok CCD,Z5,409867528,5095281,31.4160643,-94.8716428
12,1939345,4800594315,Zavalla CCD,Z5,399114976,98858733,31.1390364,-94.3552215
13,1938761,4800791420,Fulton CCD,Z5,474835364,627606057,28.1226209,-96.9675012
14,1939140,4800793295,Rockport CCD,Z5,178021416,86932144,27.9930355,-97.1249663
15,1938501,4800990130,Archer City CCD,Z5,842214314,12206880,33.5235591,-98.5875742
16,1938844,4800991815,Holliday CCD,Z5,1497293851,45560835,33.669989,-98.7466518
17,1938626,4801190740,Claude North CCD,Z5,835891265,1974227,35.0962089,-101.3731648
18,1938627,4801190745,Claude South CCD,Z5,1518726320,10209445,34.8867999,-101.3674512
19,1938594,4801390595,Campbellton CCD,Z5,515117814,1111212,28.7867206,-98.2576836
20,1938617,4801390695,Charlotte CCD,Z5,693240229,661366,28.8323569,-98.7197766
21,1938872,4801391955,Jourdanton CCD,Z5,812279141,2399069,28.8045536,-98.5227983
22,1939095,4801393070,Pleasanton CCD,Z5,567427775,500223,28.9787233,-98.4315129
23,1939105,4801393120,Poteet CCD,Z5,570531657,323841,29.1071346,-98.6688544
24,1938525,4801590250,Bellville CCD,Z5,496311726,8998961,29.9869813,-96.2387129
25,1939315,4801591873,Industry CCD,Z5,492258783,4987939,29.9608477,-96.4470209
26,1939180,4801593490,Sealy CCD,Z5,510381274,9351726,29.7904353,-96.2055667
27,1939296,4801594070,Wallis CCD,Z5,175464097,2257588,29.6617125,-96.1047804
28,1939018,4801792685,Muleshoe CCD,Z5,875403737,215547,34.2110997,-102.8330460
29,1939216,4801793670,South Sand Hills CCD,Z5,1266443450,1559728,33.9614818,-102.8126317
30,1938514,4801990195,Bandera CCD,Z5,815729631,14270630,29.7105034,-99.0150803
31,1938981,4801992500,Medina CCD,Z5,1232934256,3020792,29.7598376,-99.3924167
32,1938517,4802190210,Bastrop CCD,Z5,553621003,7154523,30.1756504,-97.2201437
33,1938609,4802190655,Cedar Creek-Red Rock CCD,Z5,663356761,3939477,30.0510276,-97.4496650
34,1938718,4802191200,Elgin CCD,Z5,428863531,2867445,30.2952288,-97.3483187
35,1939202,4802193600,Smithville CCD,Z5,654658754,5048339,29.9734654,-97.2290739
36,1939188,4802393525,Seymour CCD,Z5,110423000,956029,33.5837254,-99.2498061
37,1939189,4802393535,Seymour Rural CCD,Z5,2136341583,86035006,33.7266167,-99.0217819
38,1938523,4802590240,Beeville CCD,Z5,1263873618,70131,28.4270428,-97.6847383
39,1939086,4802593025,Pettus-Pawnee CCD,Z5,601830008,112713,28.6008029,-97.8966278
40,1939199,4802593585,Skidmore CCD,Z5,414105861,63565,28.2168515,-97.6797756
41,1938526,4802790255,Belton CCD,Z5,108230783,5187431,31.0481201,-97.4702914
42,1938700,4802791110,East Bell CCD,Z5,366326668,2476468,31.1254902,-97.2313392
43,1938750,4802791365,Fort Hood CCD,Z5,251104344,805125,31.1376057,-97.6690787
44,1938887,4802792030,Killeen CCD,Z5,267191247,24236371,31.0785761,-97.6539440
45,1939048,4802792835,Northwest Bell CCD,Z5,207572040,37589327,31.2155155,-97.4654316
46,1939143,4802793310,Rogers CCD,Z5,383914149,4915726,30.9045112,-97.2971498
47,1939208,4802793630,South Bell CCD,Z5,530957349,13789658,30.9144037,-97.5266556
48,1939218,4802793680,Southwest Bell CCD,Z5,257654685,2862224,31.0002918,-97.7953968
49,1939253,4802793855,Temple CCD,Z5,356458519,2521726,31.080936,-97.3495073
50,2628567,4802993407,San Antonio Central CCD,Z5,467575188,2215760,29.4149458,-98.5113883
51,2628568,4802993408,San Antonio East CCD,Z5,489462444,23559107,29.3662338,-98.2947227
52,2628569,4802993409,San Antonio North CCD,Z5,570482746,1397869,29.6442854,-98.5006399
53,2628570,4802993411,San Antonio Northeast CCD,Z5,260929376,2104913,29.5179199,-98.3301422
54,2628571,4802993412,San Antonio Northwest CCD,Z5,489829034,879353,29.5969375,-98.6992886
55,2628572,4802993413,San Antonio South CCD,Z5,542881146,7620687,29.2295941,-98.5304042
56,2628573,4802993414,San Antonio West CCD,Z5,391253289,3024495,29.3931701,-98.7414401
57,1938541,4803190330,Blanco CCD,Z5,552753807,1730397,30.1024143,-98.3966856
58,1938871,4803191950,Johnson City CCD,Z5,1284199929,9082764,30.3348318,-98.3963962
59,1938762,4803391425,Gail North CCD,Z5,756704783,1561169,32.8959533,-101.4982457
60,1938763,4803391430,Gail South CCD,Z5,1567661289,20736437,32.6782901,-101.4240670
61,1938630,4803590760,Clifton CCD,Z5,563485230,11760221,31.8117025,-97.4863795
62,1938656,4803590890,Cranfills Gap CCD,Z5,286898460,2119271,31.7746227,-97.7560112
63,1938859,4803591890,Iredell CCD,Z5,364556990,4513210,31.9446072,-97.8814148
64,1938987,4803592530,Meridian CCD,Z5,1048833336,30111452,32.0065263,-97.6427901
65,1939280,4803593990,Valley Mills CCD,Z5,282134113,2161962,31.6626113,-97.5404298
66,1938668,4803790950,Dalby Springs-Simms CCD,Z5,428471995,3190967,33.3515555,-94.5970525
67,1938674,4803790980,De Kalb CCD,Z5,599929849,10880486,33.5838563,-94.6344708
68,1938847,4803791830,Hooks CCD,Z5,310958827,6056587,33.476741,-94.2903086
69,1938976,4803792476,Maud-Redwater CCD,Z5,378601450,68701662,33.3396323,-94.2820207
70,1939026,4803792725,New Boston CCD,Z5,256077750,3120639,33.4781144,-94.4533716
71,1939257,4803793875,Texarkana CCD,Z5,317929248,6448147,33.4715676,-94.1229593
72,1938486,4803990055,Alvin-Pearland CCD,Z5,1063636509,70917429,29.3504557,-95.2651951
73,1938494,4803990094,Angleton CCD,Z5,807295493,37937454,29.2401808,-95.4889289
74,1938557,4803990410,Brazoria-West Columbia CCD,Z5,1211030513,117009148,29.0755364,-95.6434597
75,1938558,4803990415,Brazosport CCD,Z5,449036751,409572616,29.0155186,-95.2825364
76,1938574,4804190495,Bryan-College Station CCD,Z5,81308842,179498,30.6458882,-96.3470057
77,1939039,4804192790,Northeast Brazos CCD,Z5,664913197,4576538,30.7879855,-96.2815096
78,1939209,4804193635,South Brazos CCD,Z5,530798580,4237515,30.512442,-96.2477136
79,1939312,4804194150,West Brazos CCD,Z5,241070318,4216703,30.6624228,-96.4763999
80,1938483,4804390040,Alpine CCD,Z5,9043661624,9780950,29.6177838,-103.4706433
81,1938959,4804392390,Marathon CCD,Z5,6972209624,12281568,30.0285986,-103.0146057
82,1939116,4804593175,Quitaque CCD,Z5,861670952,1318553,34.4413683,-100.9993389
83,1939197,4804593575,Silverton CCD,Z5,1469320121,2750104,34.529239,-101.2857847
84,1938727,4804791245,Encino CCD,Z5,1939260307,303284,26.9784359,-98.2229432
85,1938733,4804791280,Falfurrias CCD,Z5,504016707,438343,27.218891,-98.2431204
86,1938515,4804990200,Bangs CCD,Z5,582334758,22305421,31.7897861,-99.1115934
87,1938542,4804990335,Blanket CCD,Z5,484863772,1304843,31.7413525,-98.8472639
88,1938572,4804990485,Brownwood CCD,Z5,764092052,2744776,31.6088836,-99.0157863
89,1938978,4804992485,May CCD,Z5,614829664,6020484,31.9722689,-98.9991512
90,1938589,4805190570,Caldwell CCD,Z5,673528586,7826195,30.5326884,-96.7615848
91,1938643,4805190825,Cooks Point CCD,Z5,254952232,3614063,30.6293963,-96.6280153
92,1939059,4805192890,Old River CCD,Z5,538489365,8647311,30.4627961,-96.4513889
93,1939204,4805193610,Somerville CCD,Z5,240045526,25955667,30.3579351,-96.6081980
94,1938530,4805390275,Bertram CCD,Z5,211352225,509398,30.7483472,-98.0417334
95,1938565,4805390450,Briggs CCD,Z5,583852112,2225566,30.9346724,-98.0009611
96,1938584,4805390545,Burnet CCD,Z5,1183865438,41278758,30.8399436,-98.2649456
97,1938960,4805392395,Marble Falls CCD,Z5,597456090,25842414,30.5612174,-98.2493812
98,1938930,4805592245,Lockhart CCD,Z5,651426634,2020237,29.9104988,-97.6233928
99,1938947,4805592330,Luling CCD,Z5,527262269,1291049,29.7544369,-97.5288158
100,1938969,4805592440,Martindale CCD,Z5,231665128,1634902,29.8316191,-97.7886427
101,1938876,4805791975,Kamey-Sixmile CCD,Z5,185928467,5502288,28.6145278,-96.7401614
102,1939098,4805793085,Point Comfort CCD,Z5,142791330,335677402,28.6371664,-96.4564313
103,1939102,4805793105,Port Lavaca CCD,Z5,251543510,68982885,28.5627461,-96.6098833
104,1939178,4805793480,Seadrift CCD,Z5,732697467,951468426,28.3529947,-96.6447735
105,1938511,4805990180,Baird CCD,Z5,840470995,1705312,32.3876139,-99.2836099
106,1938631,4805990765,Clyde CCD,Z5,877889452,2227033,32.3011068,-99.5224739
107,1938660,4805990910,Cross Plains CCD,Z5,611002795,966438,32.1764437,-99.2500968
108,1938571,4806190480,Brownsville CCD,Z5,349243104,15954571,25.9648763,-97.5121795
109,1938701,4806191115,East Cameron CCD,Z5,442579514,836215360,26.1503878,-97.2978489
110,1938825,4806191720,Harlingen-San Benito CCD,Z5,826872704,18223935,26.1883773,-97.7323124
111,1938940,4806192295,Los Fresnos-Laureles CCD,Z5,325357433,13528141,26.1029227,-97.4789584
112,1939130,4806193245,Rio Hondo CCD,Z5,365466246,112496652,26.2713946,-97.4414470
113,1938915,4806392170,Leesburg-Newsome CCD,Z5,110231103,5838882,32.9718543,-95.1119354
114,1939091,4806393050,Pittsburg CCD,Z5,397011261,13290493,32.9726018,-94.9455176
115,1939074,4806592965,Panhandle CCD,Z5,1396566890,4818067,35.4058127,-101.4606596
116,1939321,4806594195,White Deer-Groom CCD,Z5,986830337,5208537,35.4005703,-101.1944209
117,1938507,4806790160,Atlanta CCD,Z5,499773714,29686923,33.1763555,-94.1289321
118,1938539,4806790320,Bivins-McLeod CCD,Z5,286232291,902835,32.981902,-94.1422009
119,1938851,4806791850,Hughes Springs-Avinger CCD,Z5,360836792,2559430,32.9855339,-94.5751018
120,1938924,4806792215,Linden CCD,Z5,705649648,2492577,32.9856172,-94.3504148
121,1938962,4806792405,Marietta-Douglassville CCD,Z5,574191048,24852383,33.1860342,-94.4665979
122,1938690,4806991059,Dimmitt CCD,Z5,1183278711,6140953,34.6282239,-102.2579652
123,1938691,4806991732,Hart CCD,Z5,1133321682,6416461,34.4210182,-102.2562049
124,1938490,4807190075,Anahuac CCD,Z5,860216110,655641153,29.6720766,-94.6952578
125,1939005,4807192620,Mont Belvieu CCD,Z5,307460923,40894007,29.781705,-94.8433645
126,1939331,4807194245,Winnie-Stowell CCD,Z5,378748507,13300984,29.7516267,-94.4207155
127,1938484,4807390045,Alto CCD,Z5,486888163,1599917,31.5973127,-95.0840369
128,1938863,4807391910,Jacksonville CCD,Z5,465068712,6109089,31.9624062,-95.3042099
129,1939015,4807392670,Mount Selman CCD,Z5,243972789,7942079,32.0885442,-95.2914109
130,1939030,4807392745,New Summerfield CCD,Z5,451545809,6528018,32.0138829,-95.0659998
131,1939156,4807393370,Rusk CCD,Z5,841939018,1367774,31.7969637,-95.1931851
132,1939309,4807394135,Wells CCD,Z5,237727235,326124,31.493614,-95.0032892
133,1938618,4807590700,Childress CCD,Z5,1026499586,29795488,34.4360735,-100.2044841
134,1939047,4807592777,North Childress CCD,Z5,777455040,14765167,34.6551833,-100.2138749
135,1938524,4807790245,Bellevue-Joy CCD,Z5,1023637789,12312662,33.5883627,-98.1801246
136,1938587,4807790560,Byers-Petrolia CCD,Z5,714631506,4086436,34.0289741,-98.2215497
137,1938837,4807791780,Henrietta CCD,Z5,1081602563,56107762,33.8040645,-98.2410671
138,1939011,4807992650,Morton CCD,Z5,1462566457,229068,33.632375,-102.8758920
139,1939322,4807994200,Whiteface CCD,Z5,544887373,0,33.5075915,-102.7074660
140,1938567,4808190460,Bronte CCD,Z5,902315267,11671032,31.9177569,-100.3602357
141,1939134,4808193265,Robert Lee CCD,Z5,1458837931,30660800,31.8771104,-100.6352305
142,1938634,4808390780,Coleman CCD,Z5,803996165,2915967,31.9142052,-99.3466223
143,1939054,4808392865,Novice CCD,Z5,616151238,9375953,31.9724919,-99.5761875
144,1939172,4808393450,Santa Anna CCD,Z5,884824294,4374173,31.6236699,-99.3216018
145,1939248,4808393830,Talpa CCD,Z5,965961527,31297250,31.6624943,-99.5994714
146,1938495,4808590100,Anna CCD,Z5,340518021,4599250,33.3263792,-96.5808106
147,1938545,4808590350,Blue Ridge CCD,Z5,319677921,3359662,33.2938686,-96.3962069
148,1938611,4808590665,Celina CCD,Z5,287525891,3725642,33.3015372,-96.7577890
149,1938736,4808591295,Farmersville CCD,Z5,199585271,29826199,33.1421004,-96.3736758
150,1938953,4808592360,McKinney CCD,Z5,254069155,1888833,33.1726552,-96.7272196
151,1939025,4808592720,Nevada CCD,Z5,152156181,15277924,33.0280851,-96.3874836
152,1939094,4808593065,Plano CCD,Z5,493821727,19560754,33.0597936,-96.6615259
153,1939111,4808593150,Princeton CCD,Z5,131484980,37312464,33.154759,-96.5031970
154,1939162,4808793400,Samnorwood CCD,Z5,1147699950,428322,35.0739873,-100.2468346
155,1939308,4808794130,Wellington CCD,Z5,1231049978,1850872,34.8745551,-100.2843406
156,1938638,4808990800,Columbus CCD,Z5,760548212,8601877,29.7728806,-96.5290507
157,1938697,4808991095,Eagle Lake CCD,Z5,497772540,12912270,29.6214401,-96.3500157
158,1938771,4808991470,Garwood CCD,Z5,671658460,10189180,29.4485607,-96.5196656
159,1939306,4808994120,Weimar CCD,Z5,557163501,2987841,29.6226197,-96.7027351
160,1938639,4809190627,Canyon Lake CCD,Z5,858445137,36091295,29.8525121,-98.3259528
161,1939027,4809192730,New Braunfels CCD,Z5,590725924,3675658,29.7588173,-98.1910676
162,1938640,4809390810,Comanche CCD,Z5,1084775312,7187874,31.9169411,-98.6637063
163,1938675,4809390985,De Leon CCD,Z5,628434688,15815194,32.110318,-98.5976725
164,1938814,4809391665,Gustine CCD,Z5,715558926,2716417,31.8550383,-98.3741211
165,1938710,4809591160,Eden-Millersview CCD,Z5,1876539895,24442335,31.2748106,-99.8239970
166,1938729,4809591255,Eola-Paint Rock CCD,Z5,671374110,1297690,31.4776563,-99.9657071
167,1938591,4809790580,Callisburg CCD,Z5,564591305,5933144,33.7657734,-97.0719251
168,1938764,4809791435,Gainesville CCD,Z5,79427440,140265,33.6392612,-97.1472680
169,1938765,4809791440,Gainesville Southeast CCD,Z5,281459566,38959858,33.5129592,-97.0162459
170,1939017,4809792680,Muenster CCD,Z5,628073094,5797336,33.7366472,-97.3545420
171,1939281,4809793995,Valley View CCD,Z5,712238480,10488724,33.5090619,-97.2943810
172,1938647,4809990845,Copperas Cove CCD,Z5,115996028,48709,31.1763459,-97.9558116
173,1938731,4809991270,Evant CCD,Z5,490617799,29429,31.3743019,-98.0194729
174,1938740,4809991315,Flat CCD,Z5,149096067,6100781,31.3125095,-97.5699494
175,1938751,4809991370,Fort Hood CCD,Z5,611381299,299284,31.2491834,-97.7630987
176,1938773,4809991480,Gatesville CCD,Z5,268933936,198184,31.4327695,-97.7015028
177,1939058,4809992885,Oglesby CCD,Z5,320428441,4867321,31.4441495,-97.5618929
178,1939037,4809993157,Purmela-Levita CCD,Z5,418597439,171022,31.4652434,-97.9120803
