GEOID,TotPop,TotUnder5,Hispanic,BlackAloneOrCombo,AsianAloneOrCombo,AmerIndAloneorCombo,NatHawAloneOrCombo,ratioUnder5
48001950100,5164,367,591,403,14,61,0,7.106893881
48001950401,4872,30,1145,1944,22,30,0,0.615763547
48001950402,7548,9,1727,3180,8,38,17,0.119236884
48001950500,4569,258,1742,835,0,49,63,5.646749836
48001950600,5570,224,358,1474,54,16,0,4.021543986
48001950700,2479,269,846,880,13,30,0,10.85114966
48001950800,5584,583,663,1561,238,75,0,10.44054441
48001950901,6481,311,1166,742,11,131,0,4.798642185
48001950902,4513,351,455,671,54,39,0,7.777531575
48001951000,6928,322,1014,244,9,52,0,4.647806005
48001951100,4155,267,435,616,13,21,35,6.42599278
48003950100,2254,198,1033,7,44,0,0,8.784383319
48003950200,7281,661,3855,237,19,0,21,9.078423294
48003950300,5097,498,3584,238,0,0,0,9.770453208
48003950400,3186,194,1507,77,0,0,0,6.089139987
48005000101,6513,397,641,374,19,10,0,6.095501305
48005000102,4726,306,394,129,107,14,0,6.474820144
48005000200,6817,455,1941,588,0,241,0,6.674490245
48005000301,5524,365,950,729,0,114,0,6.607530775
48005000302,5198,328,945,744,19,0,0,6.310119277
48005000400,4538,196,788,1218,36,2,0,4.319083297
48005000500,3940,247,800,2568,0,9,0,6.269035533
48005000600,6716,433,3040,1869,126,17,0,6.447290054
48005000700,4256,472,2729,901,20,34,0,11.09022556
48005000800,6054,526,1465,916,30,308,0,8.688470433
48005000901,6484,536,931,1681,189,341,0,8.266502159
48005000902,3745,174,582,337,411,38,5,4.646194927
48005001001,5169,298,2181,859,0,58,0,5.765138325
48005001002,3969,336,1141,312,42,21,4,8.465608466
48005001100,6391,297,380,212,65,19,0,4.647160069
48005001200,2515,194,150,75,8,42,0,7.713717694
48005001300,5052,451,116,131,0,109,0,8.927157561
48007950100,5419,311,741,51,228,237,28,5.739066248
48007950200,1129,0,63,0,0,13,0,0
48007950300,6988,344,2471,42,269,104,0,4.922724671
48007950400,4889,286,1909,303,105,152,0,5.849867048
48007950500,6338,266,1572,116,0,378,0,4.196907542
48007990000,0,0,0,0,0,0,0,0
48009020100,2988,168,104,22,82,8,0,5.62248996
48009020200,2322,59,98,0,30,58,0,2.540913006
48009020300,3479,203,525,86,3,71,0,5.83501006
48011950100,1916,121,131,7,0,41,0,6.315240084
48013960100,7026,503,3722,25,0,216,0,7.159123256
48013960201,7849,407,5497,0,65,232,25,5.185373933
48013960202,10564,868,7814,23,43,28,0,8.216584627
48013960300,3646,153,3253,0,0,48,0,4.196379594
48013960401,2331,369,1748,22,51,146,51,15.83011583
48013960402,9039,799,4195,698,128,356,0,8.839473393
48013960500,2570,136,1773,30,0,95,0,5.291828794
48013960600,5803,349,3198,7,0,51,0,6.014130622
48015760100,2655,266,1001,409,0,61,0,10.01883239
48015760200,6016,606,2046,566,55,6,0,10.0731383
48015760300,7040,298,2663,401,75,47,24,4.232954545
48015760400,3641,95,411,540,74,0,0,2.609173304
48015760501,5097,325,595,232,39,26,5,6.376299784
48015760502,5116,190,1103,675,0,48,0,3.713838937
48017950100,7092,491,4558,56,70,75,0,6.923293852
48019000101,4343,242,804,0,15,21,0,5.572185125
48019000102,5669,168,918,13,6,338,0,2.963485624
48019000200,2738,105,270,108,3,7,0,3.834915997
48019000300,6828,241,1653,51,113,773,0,3.529584066
48019000400,2185,108,365,0,17,204,0,4.942791762
48021950100,8177,418,2750,204,121,118,6,5.11189923
48021950200,9340,793,4335,2310,15,88,0,8.490364026
48021950300,15254,714,4231,1229,315,207,0,4.680739478
48021950400,8988,612,1317,1021,104,143,40,6.809078772
48021950501,8753,254,4185,688,113,87,0,2.901862219
48021950502,6338,464,1181,58,49,117,0,7.320921426
48021950600,5541,432,668,519,55,131,0,7.796426638
48021950700,4542,254,667,739,70,18,10,5.59225011
48021950801,8019,645,6190,548,0,99,0,8.043396932
48021950802,7625,871,4865,113,21,0,17,11.42295082
48023950300,3591,178,370,141,24,13,8,4.956836536
48025950100,1762,92,772,19,0,8,0,5.221339387
48025950201,8353,49,3680,2373,27,269,4,0.586615587
48025950202,6120,474,3394,64,51,27,0,7.745098039
48025950300,5509,438,3545,114,104,0,0,7.950626248
48025950400,2171,204,1610,25,29,6,0,9.396591433
48025950500,6380,630,4652,268,0,155,12,9.87460815
48025950600,2396,37,1499,20,12,0,0,1.544240401
48027020100,7057,570,1302,94,3,26,0,8.077086581
48027020201,8014,777,1026,331,186,64,0,9.695532818
48027020202,6867,317,1130,25,25,154,0,4.616280763
48027020300,10159,973,2301,1259,503,141,0,9.577714342
48027020401,3289,159,917,917,60,132,0,4.834296139
48027020402,2805,244,690,646,0,17,0,8.698752228
48027020500,3645,243,1618,563,20,5,0,6.666666667
48027020600,2689,225,821,307,0,33,0,8.367422834
48027020701,1302,85,338,400,8,6,3,6.528417819
48027020702,2045,234,784,552,0,12,0,11.44254279
48027020800,2957,325,804,1476,0,0,0,10.99086912
48027020900,2756,244,746,974,44,46,15,8.85341074
48027021000,4330,300,1650,991,106,184,0,6.928406467
48027021100,5301,275,1983,570,100,56,0,5.187700434
48027021201,3236,321,1046,683,57,25,0,9.919653894
48027021202,4354,354,935,759,85,39,0,8.130454754
48027021203,4656,413,807,416,49,7,33,8.870274914
48027021301,5244,306,1124,790,140,286,75,5.835240275
48027021302,3186,249,345,297,77,22,0,7.815442561
48027021303,9873,1382,1863,1786,700,176,33,13.9977717
48027021400,3974,184,764,115,87,11,22,4.630095622
48027021500,6839,735,3556,679,47,0,55,10.74718526
48027021601,5429,520,2575,840,87,51,12,9.578191195
48027021602,3256,195,1147,713,58,10,0,5.988943489
48027021700,8395,323,1175,531,252,141,0,3.847528291
48027021800,9045,768,2088,1472,261,220,25,8.490878939
48027021901,3825,265,1010,471,166,215,26,6.928104575
48027021903,9034,337,1475,2569,621,57,580,3.730352004
48027021904,11702,796,1958,1981,963,118,60,6.802256025
48027022000,8006,432,2119,2191,469,303,232,5.395953035
48027022101,4239,272,877,1352,94,21,127,6.41660769
48027022103,5245,573,1414,2222,354,21,11,10.92469018
48027022104,4020,228,934,1901,244,27,186,5.671641791
48027022105,2091,229,409,1019,99,42,62,10.95169775
48027022200,3694,374,707,1929,143,7,56,10.12452626
48027022300,4089,414,905,1484,158,168,36,10.12472487
48027022401,6099,806,1535,3237,111,395,0,13.21528119
48027022402,7835,748,1935,3591,744,26,116,9.546904914
48027022403,4447,354,1365,1634,303,203,22,7.960422757
48027022404,7780,590,1813,3333,782,41,0,7.583547558
48027022405,2228,198,588,429,73,74,22,8.886894075
48027022501,3015,176,748,770,66,94,58,5.83747927
48027022502,10593,664,2336,4710,658,408,105,6.26829038
48027022600,4308,417,1440,1433,149,44,100,9.679665738
48027022801,2568,285,817,896,110,91,145,11.09813084
48027022900,3884,325,1325,1345,224,67,244,8.367662204
48027023000,9794,817,2926,2612,711,197,129,8.341841944
48027023103,4798,489,961,1861,169,62,420,10.19174656
48027023104,3263,405,1013,1212,115,132,9,12.4118909
48027023105,13626,1980,2872,7177,777,313,293,14.53104359
48027023106,9027,1124,1768,4461,693,169,133,12.45153429
48027023107,7501,665,1987,3985,360,237,176,8.865484602
48027023108,15498,2013,4649,6998,1339,138,123,12.98877274
48027023201,1397,232,309,139,114,0,76,16.60701503
48027023202,4995,450,1387,808,311,105,238,9.009009009
48027023203,1476,317,378,258,169,12,0,21.47696477
48027023204,4573,238,936,917,361,83,156,5.204460967
48027023300,9723,556,1723,2183,480,274,0,5.718399671
48027023402,4911,330,1072,214,3,37,0,6.719609041
48027023403,6465,439,768,92,205,15,0,6.790409899
48027023404,3763,232,803,150,29,60,25,6.165293649
48027023500,1948,148,803,690,33,38,137,7.597535934
48027980001,73,0,30,26,0,0,0,0
48027980002,0,0,0,0,0,0,0,0
48027980003,0,0,0,0,0,0,0,0
48029110100,3102,67,1832,217,63,9,0,2.159896841
48029110300,3023,217,2096,399,40,32,0,7.178299702
48029110500,2388,440,2168,83,92,6,0,18.42546064
48029110600,5301,192,4159,539,35,369,11,3.621958121
48029110700,1114,80,907,42,5,71,0,7.181328546
48029110800,1905,60,1281,85,29,41,10,3.149606299
48029110900,1498,25,617,69,32,10,5,1.668891856
48029111000,2933,107,2008,110,77,13,0,3.648141834
48029120100,5289,699,1354,1109,360,208,25,13.21610891
48029120300,8193,479,1809,510,81,57,0,5.84645429
48029120400,6115,395,1213,54,105,30,0,6.459525756
48029120501,9447,860,5466,1436,572,69,0,9.103419075
48029120502,5553,517,3753,693,156,63,0,9.31028273
48029120600,5889,334,1624,319,219,46,33,5.671591102
48029120701,5907,431,3458,95,76,77,0,7.296427967
48029120702,4625,113,1595,288,290,1,0,2.443243243
48029120800,6803,557,1097,63,215,40,0,8.18756431
48029120901,2348,279,1139,74,55,39,0,11.88245315
48029120902,7283,831,2855,1171,153,67,0,11.41013319
48029121000,8202,800,4412,894,268,189,113,9.753718605
48029121108,7940,546,2938,430,263,67,38,6.876574307
48029121110,5087,424,1953,345,248,0,0,8.334971496
48029121111,6913,711,3285,634,472,110,17,10.28497035
48029121112,3523,101,1258,399,239,24,12,2.866874823
48029121115,5391,273,1719,292,87,10,0,5.063995548
48029121116,5419,249,2544,312,123,22,0,4.594943717
48029121117,4651,263,1897,118,266,75,0,5.654697914
48029121118,5725,387,1565,783,81,17,0,6.759825328
48029121119,6080,313,2580,126,424,64,0,5.148026316
48029121120,5339,228,3211,474,146,145,0,4.270462633
48029121121,2893,153,776,349,77,0,0,5.288627722
48029121122,5745,322,2120,367,112,54,0,5.604873803
48029121203,4390,179,2918,277,163,48,0,4.077448747
48029121204,7510,590,2851,1813,395,119,106,7.856191744
48029121205,4467,653,2498,534,77,34,0,14.61831207
48029121206,8578,602,3850,1165,17,132,0,7.017952903
48029121300,6633,191,2557,1230,438,43,32,2.879541686
48029121402,7502,398,4793,1562,532,17,17,5.305251933
48029121403,5679,466,2978,1364,309,66,0,8.205670012
48029121404,5372,521,2961,1500,155,46,0,9.698436337
48029121501,9767,646,3043,2173,727,117,39,6.614108733
48029121504,7290,566,3385,1440,315,234,21,7.764060357
48029121505,5619,301,2104,1064,252,164,9,5.356825058
48029121506,4629,408,2648,754,67,85,0,8.813998704
48029121507,4848,317,2050,837,108,54,125,6.538778878
48029121508,4650,198,2316,1306,135,31,25,4.258064516
48029121601,5630,484,2440,810,103,24,0,8.596802842
48029121604,8661,666,2922,2192,121,101,187,7.689643228
48029121605,2033,118,577,120,42,80,0,5.804230202
48029121606,4958,365,1688,513,297,311,12,7.361839451
48029121701,4191,338,1677,207,142,17,0,8.064900978
48029121702,7372,366,2290,532,607,173,26,4.964731416
48029121802,8282,781,4058,498,421,13,0,9.43008935
48029121803,4522,263,2190,555,70,39,0,5.816010615
48029121804,7109,473,3432,481,151,0,0,6.653537769
48029121808,3436,255,1414,218,102,0,0,7.421420256
48029121809,5178,345,2132,383,295,96,55,6.662804171
48029121810,4856,349,1991,562,127,0,87,7.186985173
48029121811,5286,393,2276,379,245,44,0,7.434733258
48029121812,6805,634,2797,621,174,218,0,9.316678913
48029121813,1787,104,917,112,0,22,0,5.819809737
48029121903,5749,180,1670,303,182,249,31,3.130979301
48029121904,3249,131,828,117,232,21,21,4.032009849
48029121905,6039,164,1835,533,417,82,0,2.715681404
48029121906,5457,202,1914,143,442,39,0,3.701667583
48029121907,12452,1324,5186,1170,844,100,17,10.63283007
48029121908,3734,291,1085,125,98,27,12,7.793251205
48029121909,7952,797,2800,1968,444,405,12,10.02263581
48029121910,7022,538,2591,514,1097,0,0,7.661634862
48029130200,1769,92,1191,453,14,49,0,5.200678349
48029130300,3347,165,2790,488,0,31,0,4.92978787
48029130401,3969,235,3409,501,12,21,0,5.920886873
48029130402,4259,341,3075,973,0,37,0,8.006574313
48029130500,4812,425,3045,1490,0,134,0,8.832086451
48029130600,4045,205,2541,1494,0,8,23,5.067985167
48029130700,2772,258,1790,734,9,11,0,9.307359307
48029130800,5911,404,2676,2928,20,100,0,6.834714938
48029130900,4844,536,2240,2175,209,8,0,11.06523534
48029131000,5362,249,2283,2624,111,29,0,4.643789631
48029131100,2452,259,1521,952,0,29,0,10.56280587
48029131200,3042,109,1480,1100,37,17,0,3.583168968
48029131300,6109,422,3118,1982,46,229,0,6.90784089
48029131401,10592,1191,6537,1959,187,32,42,11.24433535
48029131402,2877,93,1909,738,19,10,3,3.232533889
48029131503,2963,174,1015,401,150,0,0,5.872426595
48029131504,4915,410,3109,747,104,85,95,8.341810783
48029131505,5257,689,2841,1818,82,53,0,13.10633441
48029131506,3629,85,1863,1042,198,38,8,2.342243042
48029131507,6758,558,4202,1607,60,0,0,8.256880734
48029131601,4323,413,1409,1068,131,29,0,9.553550775
48029131606,5962,558,2297,1634,240,90,68,9.359275411
48029131608,5961,384,2337,2552,292,97,0,6.441872169
48029131609,7725,770,3211,2233,627,60,197,9.96763754
48029131610,5332,420,2284,1912,154,26,0,7.876969242
48029131611,1050,45,304,349,94,0,25,4.285714286
48029131612,1987,207,1013,642,8,0,0,10.41771515
48029131613,4400,339,1948,1178,167,33,0,7.704545455
48029131614,4438,356,1568,2268,30,150,0,8.021631365
48029131615,8116,431,3665,2747,187,18,0,5.310497782
48029131700,1182,144,194,154,118,27,30,12.18274112
48029131801,2111,80,255,18,15,0,4,3.789673141
48029131802,4556,81,1815,452,12,44,0,1.777875329
48029140100,1347,70,1086,30,5,5,5,5.196733482
48029140200,2951,121,2489,63,0,7,19,4.100304981
48029140300,3588,147,3323,36,0,126,0,4.096989967
