County,Tract,GEOID,Area,Population
Harris,1000,48201100000,1.469491,5063
Harris,2101,48201210100,0.255804,6820
Harris,2104,48201210400,0.700509,4403
Harris,2105,48201210500,0.830878,5479
Harris,2106,48201210600,0.901076,5273
Harris,2107,48201210700,0.435842,2657
Harris,2108,48201210800,1.413312,2709
Harris,2109,48201210900,0.486722,1209
Harris,2110,48201211000,0.432305,1941
Harris,2111,48201211100,0.922199,5953
Harris,2112,48201211200,0.657481,2362
Harris,2113,48201211300,1.06487,5303
Harris,2114,48201211400,1.39702,3837
Harris,2115,48201211500,2.334278,6929
Harris,2116,48201211600,0.449617,2749
Harris,2117,48201211700,1.715113,3990
Harris,2119,48201211900,0.481672,5478
Harris,2123,48201212300,1.241177,4644
Harris,2124,48201212400,3.136859,2715
Harris,2125,48201212500,4.163807,3980
Harris,2201,48201220100,0.685091,2208
Harris,2202,48201220200,0.569959,2609
Harris,2203,48201220300,0.764664,4334
Harris,2204,48201220400,0.73559,4190
Harris,2205,48201220500,0.927441,3606
Harris,2206,48201220600,0.641278,3940
Harris,2207,48201220700,1.607254,6554
Harris,2208,48201220800,0.669751,3740
Harris,2209,48201220900,0.578129,1796
Harris,2210,48201221000,0.957382,4205
Harris,2211,48201221100,1.181934,3830
Harris,2212,48201221200,0.965491,6732
Harris,2213,48201221300,1.325082,9920
Harris,2214,48201221400,0.779692,5977
Harris,2215,48201221500,0.872781,8350
Harris,2216,48201221600,2.224076,9861
Harris,2217,48201221700,2.054181,8240
Harris,2218,48201221800,1.212851,4000
Harris,2219,48201221900,1.028599,4790
Harris,2220,48201222000,0.438822,2376
Harris,2221,48201222100,0.8823,5617
Harris,2222,48201222200,1.151109,3717
Harris,2223,48201222300,1.928671,4920
Harris,2224,48201222400,3.519768,9680
Harris,2225,48201222500,2.326373,15461
Harris,2226,48201222600,1.011935,5109
Harris,2227,48201222700,2.734162,5773
Harris,2228,48201222800,2.597959,3148
Harris,2229,48201222900,2.23942,7548
Harris,2230,48201223000,1.484317,8335
Harris,2231,48201223100,1.834647,2336
Harris,2301,48201230100,0.525183,1169
Harris,2302,48201230200,3.003669,4937
Harris,2303,48201230300,0.673531,2257
Harris,2304,48201230400,1.109874,3423
Harris,2305,48201230500,1.335926,3737
Harris,2306,48201230600,0.836496,2827
Harris,2307,48201230700,1.04185,2873
Harris,2308,48201230800,0.715016,2523
Harris,2309,48201230900,2.454651,4227
Harris,2310,48201231000,1.590851,4440
Harris,2311,48201231100,4.270044,4867
Harris,2312,48201231200,5.360946,6998
Harris,2313,48201231300,1.856963,4615
Harris,2314,48201231400,1.29229,2645
Harris,2315,48201231500,0.447722,3000
Harris,2316,48201231600,0.642788,3136
Harris,2317,48201231700,1.63334,3443
Harris,2318,48201231800,1.083611,2925
Harris,2319,48201231900,3.39602,7687
Harris,2320,48201232000,6.157571,4632
Harris,2321,48201232100,1.239995,3504
Harris,2322,48201232200,7.657451,17871
Harris,2323,48201232300,14.556736,23812
Harris,2324,48201232400,6.976076,17686
Harris,2325,48201232500,4.419536,4300
Harris,2326,48201232600,2.36272,3210
Harris,2327,48201232700,3.49158,14353
Harris,2328,48201232800,0.763519,5691
Harris,2329,48201232900,1.261569,7170
Harris,2330,48201233000,1.421417,11512
Harris,2331,48201233100,2.243421,16925
Harris,2332,48201233200,1.216498,6380
Harris,2333,48201233300,4.024408,4588
Harris,2334,48201233400,1.006941,2719
Harris,2335,48201233500,1.077021,8028
Harris,2336,48201233600,1.380144,2095
Harris,2337,48201233700,6.319289,11031
Harris,2401,48201240100,1.384269,3716
Harris,2404,48201240400,8.067112,8110
Harris,2405,48201240500,1.515916,12076
Harris,2406,48201240600,0.944181,2792
Harris,2407,48201240700,6.816244,29580
Harris,2408,48201240800,5.81367,12245
Harris,2409,48201240900,6.841652,26906
Harris,2410,48201241000,6.61595,8901
Harris,2411,48201241100,4.410194,21397
Harris,2412,48201241200,1.895925,7660
Harris,2413,48201241300,6.614533,11354
Harris,2414,48201241400,4.198754,9781
Harris,2415,48201241500,12.847766,8448
Harris,2501,48201250100,5.466195,9043
Harris,2502,48201250200,2.3081,10730
Harris,2503,48201250300,6.441211,22658
Harris,2504,48201250400,9.405604,34053
Harris,2505,48201250500,1.760808,6372
Harris,2506,48201250600,5.407599,8403
Harris,2507,48201250700,7.918837,10580
Harris,2508,48201250800,2.679108,9037
Harris,2509,48201250900,4.438473,9902
Harris,2510,48201251000,2.989092,3094
Harris,2511,48201251100,4.050167,7459
Harris,2512,48201251200,1.336828,6572
Harris,2513,48201251300,2.523493,7108
Harris,2514,48201251400,1.495759,9139
Harris,2515,48201251500,9.381247,17746
Harris,2516,48201251600,22.384614,6551
Harris,2517,48201251700,27.585415,8266
Harris,2518,48201251800,13.982684,2148
Harris,2519,48201251900,22.685346,16279
Harris,2520,48201252000,15.571925,19799
Harris,2521,48201252100,8.958179,2274
Harris,2522,48201252200,8.379748,9502
Harris,2523,48201252300,4.021245,23472
Harris,2524,48201252400,2.054658,6947
Harris,2525,48201252500,11.685884,3779
Harris,2526,48201252600,12.903905,8501
Harris,2527,48201252700,18.15063,4157
