fips,st,state,st_abbr,stcnty,county,Block Group,Tract,location,area_sqmi,e_totpop,theme1,theme2,theme3,theme4,themes,Zip1,Zip2,Zip3,Zip4,Zip5,Zip6,Zip7,Count of Blocks,Lon,Lat,zip
48039660100,48,TEXAS,TX,48039,Brazoria,6601,6601,"Census Tract 6601, Brazoria County, Texas",1.632312,4975,0.1432,0.2296,0.3081,0.005,0.0373,77581,,,,,,,77,-95.23011235,29.55177006,77581
48039660200,48,TEXAS,TX,48039,Brazoria,6602,6602,"Census Tract 6602, Brazoria County, Texas",7.072554,6678,0.2057,0.1241,0.1612,0.4995,0.2028,77511,77581,,,,,,188,-95.23531368,29.51157886,"7,751,177,581"
48039660300,48,TEXAS,TX,48039,Brazoria,6603,6603,"Census Tract 6603, Brazoria County, Texas",3.846986,11489,0.0758,0.399,0.233,0.3654,0.1949,77581,,,,,,,106,-95.26422381,29.54593347,77581
48039660400,48,TEXAS,TX,48039,Brazoria,6604,6604,"Census Tract 6604, Brazoria County, Texas",4.214971,10756,0.1932,0.2643,0.4292,0.1926,0.201,77581,,,,,,,99,-95.27199939,29.5739684,77581
48039660500,48,TEXAS,TX,48039,Brazoria,6605,6605,"Census Tract 6605, Brazoria County, Texas",9.483542,9591,0.2804,0.2182,0.5293,0.1667,0.2289,77581,77584,,,,,,235,-95.30663677,29.57801483,"7,758,177,584"
48039660601,48,TEXAS,TX,48039,Brazoria,6606.01,6606,"Census Tract 6606.01, Brazoria County, Texas",4.323027,13024,0.2224,0.4258,0.5132,0.0854,0.2062,77584,,,,,,,148,-95.37148504,29.57185905,77584
48039660602,48,TEXAS,TX,48039,Brazoria,6606.02,6606,"Census Tract 6606.02, Brazoria County, Texas",18.336459,42978,0.1144,0.0824,0.6412,0.6731,0.2965,77578,77583,77584,,,,,306,-95.41283672,29.53790953,"775,787,758,377,584"
48039660701,48,TEXAS,TX,48039,Brazoria,6607.01,6607,"Census Tract 6607.01, Brazoria County, Texas",4.008252,16393,0.1073,0.191,0.4524,0.5857,0.26,77581,77584,,,,,,142,-95.35892836,29.54834693,"7,758,177,584"
48039660702,48,TEXAS,TX,48039,Brazoria,6607.02,6607,"Census Tract 6607.02, Brazoria County, Texas",14.293184,15184,0.109,0.2513,0.4047,0.653,0.2896,77578,77584,,,,,,219,-95.36363943,29.52479416,"7,757,877,584"
48039660801,48,TEXAS,TX,48039,Brazoria,6608.01,6608,"Census Tract 6608.01, Brazoria County, Texas",2.625779,9188,0.0716,0.2252,0.3292,0.5952,0.23,77581,77584,,,,,,83,-95.30161608,29.55571321,"7,758,177,584"
48039660802,48,TEXAS,TX,48039,Brazoria,6608.02,6608,"Census Tract 6608.02, Brazoria County, Texas",2.929471,8418,0.2103,0.0448,0.4966,0.2419,0.1584,77581,77584,,,,,,80,-95.30649507,29.53815536,"7,758,177,584"
48039660900,48,TEXAS,TX,48039,Brazoria,6609,6609,"Census Tract 6609, Brazoria County, Texas",17.291975,7612,0.4978,0.3047,0.6492,0.4663,0.4818,77511,77581,77584,,,,,214,-95.28861121,29.50588619,"775,117,758,177,584"
48039661000,48,TEXAS,TX,48039,Brazoria,6610,6610,"Census Tract 6610, Brazoria County, Texas",16.48786,7242,0.2458,0.3279,0.4837,0.333,0.2984,77511,77578,,,,,,167,-95.28531255,29.4593338,"7,751,177,578"
48039661100,48,TEXAS,TX,48039,Brazoria,6611,6611,"Census Tract 6611, Brazoria County, Texas",5.44595,3595,0.6114,0.3321,0.5859,0.3829,0.4931,77511,,,,,,,85,-95.22894353,29.44027549,77511
48039661200,48,TEXAS,TX,48039,Brazoria,6612,6612,"Census Tract 6612, Brazoria County, Texas",1.358961,4402,0.5149,0.1475,0.2148,0.9348,0.5119,77511,,,,,,,87,-95.23771997,29.41759938,77511
48039661300,48,TEXAS,TX,48039,Brazoria,6613,6613,"Census Tract 6613, Brazoria County, Texas",1.312301,2460,0.8125,0.9073,0.54,0.5739,0.7675,77511,,,,,,,134,-95.2544254,29.42426509,77511
48039661400,48,TEXAS,TX,48039,Brazoria,6614,6614,"Census Tract 6614, Brazoria County, Texas",2.706727,6937,0.5615,0.7908,0.5218,0.9609,0.7767,77511,,,,,,,114,-95.25558694,29.4126551,77511
48039661501,48,TEXAS,TX,48039,Brazoria,6615.01,6615,"Census Tract 6615.01, Brazoria County, Texas",15.005804,4941,0.4506,0.6439,0.4726,0.5809,0.5307,77511,77578,,,,,,119,-95.31459818,29.4415687,"7,751,177,578"
48039661502,48,TEXAS,TX,48039,Brazoria,6615.02,6615,"Census Tract 6615.02, Brazoria County, Texas",24.441172,4747,0.3564,0.6508,0.2619,0.4894,0.4078,77511,77578,,,,,,54,-95.28803557,29.38887393,"7,751,177,578"
48039661601,48,TEXAS,TX,48039,Brazoria,6616.01,6616,"Census Tract 6616.01, Brazoria County, Texas",9.0582,6562,0.4496,0.4363,0.3192,0.5317,0.4343,77511,,,,,,,103,-95.21690343,29.39539506,77511
48039661602,48,TEXAS,TX,48039,Brazoria,6616.02,6616,"Census Tract 6616.02, Brazoria County, Texas",12.887911,3065,0.4577,0.2785,0.5962,0.5339,0.4649,77511,77577,,,,,,95,-95.25014494,29.3490736,"7,751,177,577"
48039661700,48,TEXAS,TX,48039,Brazoria,6617,6617,"Census Tract 6617, Brazoria County, Texas",169.846583,2976,0.4947,0.8163,0.2167,0.7199,0.5755,77511,77534,77541,77577,,,,917,-95.23401387,29.23074818,"77,511,775,347,754,100,000"
48039661800,48,TEXAS,TX,48039,Brazoria,6618,6618,"Census Tract 6618, Brazoria County, Texas",61.954948,6163,0.4393,0.534,0.4673,0.358,0.428,77511,77577,77578,77583,,,,395,-95.38142306,29.37136395,"77,511,775,777,757,800,000"
48039661900,48,TEXAS,TX,48039,Brazoria,6619,6619,"Census Tract 6619, Brazoria County, Texas",116.733516,15562,0.5264,0.0676,0.6446,0.7286,0.4871,77515,77583,,,,,,514,-95.48642458,29.36289626,"7,751,577,583"
48039662000,48,TEXAS,TX,48039,Brazoria,6620,6620,"Census Tract 6620, Brazoria County, Texas",147.763622,6249,0.5362,0.3635,0.4091,0.7696,0.5576,77430,77444,77486,,,,,344,-95.68127363,29.20675494,"774,307,744,477,486"
48039662100,48,TEXAS,TX,48039,Brazoria,6621,6621,"Census Tract 6621, Brazoria County, Texas",52.284651,5481,0.4859,0.4581,0.4193,0.9513,0.6446,77486,77515,,,,,,333,-95.48365571,29.18708826,"7,748,677,515"
48039662200,48,TEXAS,TX,48039,Brazoria,6622,6622,"Census Tract 6622, Brazoria County, Texas",36.23196,7375,0.2512,0.3677,0.2907,0.8059,0.414,77515,77534,77583,,,,,119,-95.40097428,29.24576087,"775,157,753,477,583"
48039662300,48,TEXAS,TX,48039,Brazoria,6623,6623,"Census Tract 6623, Brazoria County, Texas",1.331731,5211,0.5488,0.7792,0.4023,0.8527,0.6747,77515,,,,,,,103,-95.42465383,29.17239534,77515
48039662400,48,TEXAS,TX,48039,Brazoria,6624,6624,"Census Tract 6624, Brazoria County, Texas",34.60379,5040,0.423,0.4074,0.334,0.8816,0.5474,77515,77534,,,,,,228,-95.36475575,29.20829885,"7,751,577,534"
48039662500,48,TEXAS,TX,48039,Brazoria,6625,6625,"Census Tract 6625, Brazoria County, Texas",36.067466,2986,0.3688,0.7736,0.2276,0.7021,0.5,77422,77486,77515,,,,,181,-95.50635691,29.13366576,"774,227,748,677,515"
48039662600,48,TEXAS,TX,48039,Brazoria,6626,6626,"Census Tract 6626, Brazoria County, Texas",12.26327,3563,0.4713,0.4618,0.4026,0.184,0.3441,77422,77486,,,,,,104,-95.64091828,29.12572011,"7,742,277,486"
48039662700,48,TEXAS,TX,48039,Brazoria,6627,6627,"Census Tract 6627, Brazoria County, Texas",80.54734,2454,0.3744,0.2072,0.3858,0.4331,0.3287,77480,77486,,,,,,198,-95.75178089,29.09767298,"7,748,077,486"
48039662800,48,TEXAS,TX,48039,Brazoria,6628,6628,"Census Tract 6628, Brazoria County, Texas",51.751016,6372,0.5105,0.9086,0.1903,0.9039,0.6768,77422,77480,,,,,,231,-95.69587002,29.03924832,"7,742,277,480"
48039662900,48,TEXAS,TX,48039,Brazoria,6629,6629,"Census Tract 6629, Brazoria County, Texas",21.463007,5111,0.5202,0.6472,0.2094,0.6843,0.5296,77422,,,,,,,208,-95.58280438,29.05361741,77422
48039663000,48,TEXAS,TX,48039,Brazoria,6630,6630,"Census Tract 6630, Brazoria County, Texas",23.206664,4157,0.5803,0.4599,0.3382,0.6977,0.554,77422,,,,,,,222,-95.54679413,29.01685378,77422
48039663100,48,TEXAS,TX,48039,Brazoria,6631,6631,"Census Tract 6631, Brazoria County, Texas",34.374096,7648,0.1677,0.073,0.3774,0.2968,0.155,77515,77531,77566,,,,,261,-95.4601549,29.08648314,"775,157,753,177,566"
48039663200,48,TEXAS,TX,48039,Brazoria,6632,6632,"Census Tract 6632, Brazoria County, Texas",1.608447,4721,0.1439,0.3892,0.2502,0.2584,0.1914,77566,,,,,,,79,-95.44825174,29.05275321,77566
48039663300,48,TEXAS,TX,48039,Brazoria,6633,6633,"Census Tract 6633, Brazoria County, Texas",0.960602,2202,0.5669,0.6068,0.5241,0.1191,0.4053,77566,,,,,,,80,-95.44360659,29.03738215,77566
48039663400,48,TEXAS,TX,48039,Brazoria,6634,6634,"Census Tract 6634, Brazoria County, Texas",4.20687,7684,0.165,0.3986,0.492,0.6163,0.3614,77566,,,,,,,119,-95.45095077,29.02957253,77566
48039663500,48,TEXAS,TX,48039,Brazoria,6635,6635,"Census Tract 6635, Brazoria County, Texas",1.386768,6122,0.408,0.385,0.2242,0.5032,0.3729,77566,,,,,,,86,-95.428152,29.02591867,77566
48039663600,48,TEXAS,TX,48039,Brazoria,6636,6636,"Census Tract 6636, Brazoria County, Texas",2.143302,5194,0.223,0.2296,0.1111,0.0311,0.0576,77531,77566,,,,,,87,-95.42833075,29.04845294,"7,753,177,566"
48039663700,48,TEXAS,TX,48039,Brazoria,6637,6637,"Census Tract 6637, Brazoria County, Texas",1.430985,3573,0.3656,0.2122,0.3036,0.521,0.3312,77531,77566,,,,,,75,-95.41152057,29.05609131,"7,753,177,566"
48039663800,48,TEXAS,TX,48039,Brazoria,6638,6638,"Census Tract 6638, Brazoria County, Texas",2.102462,6288,0.6809,0.5074,0.6207,0.8676,0.7329,77531,77566,,,,,,53,-95.40996992,29.02768336,"7,753,177,566"
48039663900,48,TEXAS,TX,48039,Brazoria,6639,6639,"Census Tract 6639, Brazoria County, Texas",1.25863,2361,0.7668,0.6047,0.7056,0.9618,0.8698,77531,77566,,,,,,48,-95.40183467,29.01334352,"7,753,177,566"
48039664000,48,TEXAS,TX,48039,Brazoria,6640,6640,"Census Tract 6640, Brazoria County, Texas",12.766552,3930,0.615,0.3848,0.6725,0.61,0.6102,77515,77531,77541,,,,,114,-95.38825558,29.04002028,"775,157,753,177,541"
48039664100,48,TEXAS,TX,48039,Brazoria,6641,6641,"Census Tract 6641, Brazoria County, Texas",69.768419,5810,0.4907,0.6347,0.5935,0.6112,0.5849,77515,77531,77541,,,,,278,-95.33668411,29.09659847,"775,157,753,177,541"
48039664200,48,TEXAS,TX,48039,Brazoria,6642,6642,"Census Tract 6642, Brazoria County, Texas",45.230418,2146,0.6617,0.4064,0.2917,0.7842,0.6002,77531,77541,77566,,,,,917,-95.32829612,28.98912551,"775,317,754,177,566"
48039664300,48,TEXAS,TX,48039,Brazoria,6643,6643,"Census Tract 6643, Brazoria County, Texas",3.13969,5858,0.901,0.7477,0.7869,0.9973,0.9772,77541,,,,,,,277,-95.36564391,28.96654391,77541
48039664400,48,TEXAS,TX,48039,Brazoria,6644,6644,"Census Tract 6644, Brazoria County, Texas",27.076071,6042,0.8256,0.7204,0.6836,0.4656,0.7204,77541,,,,,,,406,-95.3599052,28.93645645,77541
48039664501,48,TEXAS,TX,48039,Brazoria,6645.01,6645,"Census Tract 6645.01, Brazoria County, Texas",130.037681,5483,0.6692,0.7889,0.3057,0.4393,0.5749,77422,77541,,,,,,291,-95.4998099,28.94129225,"7,742,277,541"
48039990000,48,TEXAS,TX,48039,Brazoria,9900,9900,"Census Tract 9900, Brazoria County, Texas",0,0,-999,-999,-999,-999,-999,,,,,,,,10,-95.29567372,28.92315494,
48157670101,48,TEXAS,TX,48157,Fort Bend,6701.01,6701,"Census Tract 6701.01, Fort Bend County, Texas",1.290366,6685,0.8804,0.3576,0.9736,0.2179,0.6719,77053,,,,,,,66,-95.45506759,29.59081829,77053
48157670102,48,TEXAS,TX,48157,Fort Bend,6701.02,6701,"Census Tract 6701.02, Fort Bend County, Texas",0.469982,3311,0.7584,0.7855,0.7999,0.1143,0.607,77053,,,,,,,27,-95.46473661,29.58456952,77053
48157670200,48,TEXAS,TX,48157,Fort Bend,6702,6702,"Census Tract 6702, Fort Bend County, Texas",1.400389,7592,0.7352,0.5692,0.8072,0.0938,0.5342,77053,77085,77489,,,,,68,-95.47509284,29.59612498,"770,537,708,577,489"
48157670300,48,TEXAS,TX,48157,Fort Bend,6703,6703,"Census Tract 6703, Fort Bend County, Texas",1.156528,3400,0.6989,0.8835,0.8057,0.0472,0.5534,77053,77085,77489,,,,,47,-95.48754379,29.59841405,"770,537,708,577,489"
48157670400,48,TEXAS,TX,48157,Fort Bend,6704,6704,"Census Tract 6704, Fort Bend County, Texas",0.987705,5348,0.5043,0.8705,0.6404,0.555,0.6457,77489,,,,,,,43,-95.49992721,29.60617175,77489
48157670500,48,TEXAS,TX,48157,Fort Bend,6705,6705,"Census Tract 6705, Fort Bend County, Texas",2.009749,4598,0.4794,0.3857,0.6417,0.4612,0.4917,77489,,,,,,,116,-95.51880497,29.60924921,77489
48157670601,48,TEXAS,TX,48157,Fort Bend,6706.01,6706,"Census Tract 6706.01, Fort Bend County, Texas",1.720887,9093,0.4026,0.375,0.6685,0.1059,0.322,77489,,,,,,,84,-95.51599625,29.59211357,77489
48157670602,48,TEXAS,TX,48157,Fort Bend,6706.02,6706,"Census Tract 6706.02, Fort Bend County, Texas",1.058693,1890,0.4851,0.6357,0.8565,0.1738,0.4971,77053,77489,,,,,,17,-95.49882057,29.59264174,"7,705,377,489"
48157670700,48,TEXAS,TX,48157,Fort Bend,6707,6707,"Census Tract 6707, Fort Bend County, Texas",11.216166,5861,0.2412,0.3427,0.6559,0.2524,0.3126,77053,77459,77489,77545,77584,,,253,-95.45601422,29.55358239,"7,705,377,459,774,890,000,000,000"
48157670800,48,TEXAS,TX,48157,Fort Bend,6708,6708,"Census Tract 6708, Fort Bend County, Texas",5.649793,18027,0.465,0.4369,0.8393,0.7276,0.6375,77459,77545,77583,,,,,222,-95.46499796,29.52222393,"774,597,754,577,583"
48157670901,48,TEXAS,TX,48157,Fort Bend,6709.01,6709,"Census Tract 6709.01, Fort Bend County, Texas",4.571825,12020,0.2121,0.0609,0.5819,0.0196,0.0661,77459,,,,,,,154,-95.53139931,29.55076703,77459
48157670902,48,TEXAS,TX,48157,Fort Bend,6709.02,6709,"Census Tract 6709.02, Fort Bend County, Texas",4.114014,7963,0.3512,0.3551,0.7906,0.1195,0.3322,77545,,,,,,,44,-95.4837637,29.54506427,77545
48157671001,48,TEXAS,TX,48157,Fort Bend,6710.01,6710,"Census Tract 6710.01, Fort Bend County, Texas",1.796157,5413,0.2456,0.4681,0.2039,0.1349,0.1899,77459,,,,,,,87,-95.55243219,29.5748543,77459
48157671002,48,TEXAS,TX,48157,Fort Bend,6710.02,6710,"Census Tract 6710.02, Fort Bend County, Texas",1.467917,5984,0.3577,0.3026,0.5507,0.1233,0.2609,77459,77489,,,,,,67,-95.53453318,29.57454587,"7,745,977,489"
48157671100,48,TEXAS,TX,48157,Fort Bend,6711,6711,"Census Tract 6711, Fort Bend County, Texas",2.676429,8663,0.5859,0.1255,0.7399,0.8341,0.6156,77459,77477,77489,,,,,114,-95.54708018,29.59213407,"774,597,747,777,489"
48157671200,48,TEXAS,TX,48157,Fort Bend,6712,6712,"Census Tract 6712, Fort Bend County, Texas",1.283426,6515,0.5268,0.2616,0.7546,0.4096,0.4956,77477,77489,,,,,,88,-95.53568677,29.60520096,"7,747,777,489"
48157671300,48,TEXAS,TX,48157,Fort Bend,6713,6713,"Census Tract 6713, Fort Bend County, Texas",0.981058,4351,0.7632,0.4591,0.7175,0.596,0.6914,77477,77489,,,,,,71,-95.54962423,29.61210509,"7,747,777,489"
48157671400,48,TEXAS,TX,48157,Fort Bend,6714,6714,"Census Tract 6714, Fort Bend County, Texas",1.292678,8673,0.4857,0.1027,0.7971,0.9037,0.6141,77477,,,,,,,112,-95.57324187,29.61490483,77477
48157671501,48,TEXAS,TX,48157,Fort Bend,6715.01,6715,"Census Tract 6715.01, Fort Bend County, Texas",1.525243,8050,0.2074,0.2038,0.5953,0.4974,0.3247,77459,,,,,,,114,-95.57533945,29.59581869,77459
48157671502,48,TEXAS,TX,48157,Fort Bend,6715.02,6715,"Census Tract 6715.02, Fort Bend County, Texas",0.681715,1640,0.2115,0.0473,0.5268,0.1019,0.1146,77459,,,,,,,26,-95.57061304,29.5778466,77459
48157671601,48,TEXAS,TX,48157,Fort Bend,6716.01,6716,"Census Tract 6716.01, Fort Bend County, Texas",1.08224,6796,0.1171,0.0864,0.505,0.2214,0.1452,77478,,,,,,,97,-95.60459209,29.59819161,77478
48157671602,48,TEXAS,TX,48157,Fort Bend,6716.02,6716,"Census Tract 6716.02, Fort Bend County, Texas",0.893115,3465,0.1291,0.1057,0.5916,0.0161,0.0566,77459,77478,,,,,,65,-95.5875262,29.59211035,"7,745,977,478"
48157671700,48,TEXAS,TX,48157,Fort Bend,6717,6717,"Census Tract 6717, Fort Bend County, Texas",2.31369,5230,0.1476,0.2773,0.3007,0.3092,0.198,77477,77478,,,,,,151,-95.59649337,29.61449879,"7,747,777,478"
48157671800,48,TEXAS,TX,48157,Fort Bend,6718,6718,"Census Tract 6718, Fort Bend County, Texas",4.927627,3384,0.3604,0.352,0.6553,0.2956,0.3854,77477,77478,77489,,,,,232,-95.56324192,29.63013601,"774,777,747,877,489"
48157671900,48,TEXAS,TX,48157,Fort Bend,6719,6719,"Census Tract 6719, Fort Bend County, Texas",0.822774,4051,0.1224,0.2613,0.4179,0.0399,0.0849,77477,,,,,,,65,-95.58687757,29.6519032,77477
48157672001,48,TEXAS,TX,48157,Fort Bend,6720.01,6720,"Census Tract 6720.01, Fort Bend County, Texas",3.677468,8160,0.4157,0.2174,0.7182,0.7124,0.5271,77099,77477,77478,,,,,138,-95.60726215,29.64216397,"770,997,747,777,478"
48157672002,48,TEXAS,TX,48157,Fort Bend,6720.02,6720,"Census Tract 6720.02, Fort Bend County, Texas",1.021348,6945,0.3792,0.0969,0.5779,0.4721,0.3472,77477,,,,,,,48,-95.58755417,29.64250863,77477
