fips,area_sqmi,e_totpop,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4,rpl_themes
48039660100,1.632312,4975,0.1432,0.2296,0.3081,0.005,0.0373
48039660200,7.072554,6678,0.2057,0.1241,0.1612,0.4995,0.2028
48039660300,3.846986,11489,0.0758,0.399,0.233,0.3654,0.1949
48039660400,4.214971,10756,0.1932,0.2643,0.4292,0.1926,0.201
48039660500,9.483542,9591,0.2804,0.2182,0.5293,0.1667,0.2289
48039660601,4.323027,13024,0.2224,0.4258,0.5132,0.0854,0.2062
48039660602,18.336459,42978,0.1144,0.0824,0.6412,0.6731,0.2965
48039660701,4.008252,16393,0.1073,0.191,0.4524,0.5857,0.26
48039660702,14.293184,15184,0.109,0.2513,0.4047,0.653,0.2896
48039660801,2.625779,9188,0.0716,0.2252,0.3292,0.5952,0.23
48039660802,2.929471,8418,0.2103,0.0448,0.4966,0.2419,0.1584
48039660900,17.291975,7612,0.4978,0.3047,0.6492,0.4663,0.4818
48039661000,16.48786,7242,0.2458,0.3279,0.4837,0.333,0.2984
48039661100,5.44595,3595,0.6114,0.3321,0.5859,0.3829,0.4931
48039661200,1.358961,4402,0.5149,0.1475,0.2148,0.9348,0.5119
48039661300,1.312301,2460,0.8125,0.9073,0.54,0.5739,0.7675
48039661400,2.706727,6937,0.5615,0.7908,0.5218,0.9609,0.7767
48039661501,15.005804,4941,0.4506,0.6439,0.4726,0.5809,0.5307
48039661502,24.441172,4747,0.3564,0.6508,0.2619,0.4894,0.4078
48039661601,9.0582,6562,0.4496,0.4363,0.3192,0.5317,0.4343
48039661602,12.887911,3065,0.4577,0.2785,0.5962,0.5339,0.4649
48039661700,169.846583,2976,0.4947,0.8163,0.2167,0.7199,0.5755
48039661800,61.954948,6163,0.4393,0.534,0.4673,0.358,0.428
48039661900,116.733516,15562,0.5264,0.0676,0.6446,0.7286,0.4871
48039662000,147.763622,6249,0.5362,0.3635,0.4091,0.7696,0.5576
48039662100,52.284651,5481,0.4859,0.4581,0.4193,0.9513,0.6446
48039662200,36.23196,7375,0.2512,0.3677,0.2907,0.8059,0.414
48039662300,1.331731,5211,0.5488,0.7792,0.4023,0.8527,0.6747
48039662400,34.60379,5040,0.423,0.4074,0.334,0.8816,0.5474
48039662500,36.067466,2986,0.3688,0.7736,0.2276,0.7021,0.5
48039662600,12.26327,3563,0.4713,0.4618,0.4026,0.184,0.3441
48039662700,80.54734,2454,0.3744,0.2072,0.3858,0.4331,0.3287
48039662800,51.751016,6372,0.5105,0.9086,0.1903,0.9039,0.6768
48039662900,0.1439,5111,0.5202,0.6472,0.2094,0.6843,0.5296
48039663000,23.206664,4157,0.5803,0.4599,0.3382,0.6977,0.554
48039663100,34.374096,7648,0.1677,0.073,0.3774,0.2968,0.155
48039663200,1.608447,4721,0.1439,0.3892,0.2502,0.2584,0.1914
48039663300,0.960602,2202,0.5669,0.6068,0.5241,0.1191,0.4053
48039663400,4.20687,7684,0.165,0.3986,0.492,0.6163,0.3614
48039663500,1.386768,6122,0.408,0.385,0.2242,0.5032,0.3729
48039663600,2.143302,5194,0.223,0.2296,0.1111,0.0311,0.0576
48039663700,1.430985,3573,0.3656,0.2122,0.3036,0.521,0.3312
48039663800,2.102462,6288,0.6809,0.5074,0.6207,0.8676,0.7329
48039663900,1.25863,2361,0.7668,0.6047,0.7056,0.9618,0.8698
48039664000,12.766552,3930,0.615,0.3848,0.6725,0.61,0.6102
48039664100,69.768419,5810,0.4907,0.6347,0.5935,0.6112,0.5849
48039664200,45.230418,2146,0.6617,0.4064,0.2917,0.7842,0.6002
48039664300,3.13969,5858,0.901,0.7477,0.7869,0.9973,0.9772
48039664400,27.076071,6042,0.8256,0.7204,0.6836,0.4656,0.7204
48039664501,130.037681,5483,0.6692,0.7889,0.3057,0.4393,0.5749
48039990000,0,0,-999,-999,-999,-999,-999
48157670101,1.290366,6685,0.8804,0.3576,0.9736,0.2179,0.6719
48157670102,0.469982,3311,0.7584,0.7855,0.7999,0.1143,0.607
48157670200,1.400389,7592,0.7352,0.5692,0.8072,0.0938,0.5342
48157670300,1.156528,3400,0.6989,0.8835,0.8057,0.0472,0.5534
48157670400,0.987705,5348,0.5043,0.8705,0.6404,0.555,0.6457
48157670500,2.009749,4598,0.4794,0.3857,0.6417,0.4612,0.4917
48157670601,1.720887,9093,0.4026,0.375,0.6685,0.1059,0.322
48157670602,1.058693,1890,0.4851,0.6357,0.8565,0.1738,0.4971
48157670700,11.216166,5861,0.2412,0.3427,0.6559,0.2524,0.3126
48157670800,5.649793,18027,0.465,0.4369,0.8393,0.7276,0.6375
48157670901,4.571825,12020,0.2121,0.0609,0.5819,0.0196,0.0661
48157670902,4.114014,7963,0.3512,0.3551,0.7906,0.1195,0.3322
48157671001,1.796157,5413,0.2456,0.4681,0.2039,0.1349,0.1899
48157671002,1.467917,5984,0.3577,0.3026,0.5507,0.1233,0.2609
48157671100,2.676429,8663,0.5859,0.1255,0.7399,0.8341,0.6156
48157671200,1.283426,6515,0.5268,0.2616,0.7546,0.4096,0.4956
48157671300,0.981058,4351,0.7632,0.4591,0.7175,0.596,0.6914
48157671400,1.292678,8673,0.4857,0.1027,0.7971,0.9037,0.6141
48157671501,1.525243,8050,0.2074,0.2038,0.5953,0.4974,0.3247
48157671502,0.681715,1640,0.2115,0.0473,0.5268,0.1019,0.1146
48157671601,1.08224,6796,0.1171,0.0864,0.505,0.2214,0.1452
48157671602,0.893115,3465,0.1291,0.1057,0.5916,0.0161,0.0566
48157671700,2.31369,5230,0.1476,0.2773,0.3007,0.3092,0.198
48157671800,4.927627,3384,0.3604,0.352,0.6553,0.2956,0.3854
48157671900,0.822774,4051,0.1224,0.2613,0.4179,0.0399,0.0849
48157672001,3.677468,8160,0.4157,0.2174,0.7182,0.7124,0.5271
48157672002,1.021348,6945,0.3792,0.0969,0.5779,0.4721,0.3472
48157672100,2.482686,4051,0.0983,0.3114,0.4306,0.3835,0.2272
48157672200,2.369315,3620,0.0829,0.1316,0.395,0.278,0.1459
48157672301,1.524867,7712,0.3337,0.0477,0.812,0.7514,0.4437
48157672302,1.500974,9183,0.2207,0.2683,0.4503,0.0798,0.1613
48157672400,1.623984,8935,0.5891,0.3057,0.7171,0.0338,0.3149
48157672500,0.998274,7674,0.374,0.4204,0.8095,0.0556,0.3122
48157672601,1.432049,10813,0.6419,0.2155,0.7638,0.1019,0.4042
48157672602,0.799233,7566,0.5884,0.063,0.8741,0.2526,0.4161
48157672701,4.208804,14544,0.455,0.2892,0.8303,0.155,0.3955
48157672702,1.310874,7720,0.4343,0.3294,0.5291,0.1237,0.2969
48157672800,4.113207,8195,0.3224,0.1176,0.662,0.6016,0.3969
48157672900,18.229593,51536,0.2894,0.1607,0.6142,0.145,0.2254
48157673001,2.033588,7916,0.1627,0.2547,0.2839,0.2041,0.1632
48157673002,5.206474,9303,0.378,0.5238,0.5245,0.4272,0.4361
48157673003,3.204767,12305,0.0098,0.1731,0.4397,0.0409,0.0394
48157673101,19.675561,70271,0.1414,0.1569,0.4556,0.1629,0.1463
48157673102,4.188007,19520,0.1568,0.3394,0.4288,0.2129,0.2091
48157673200,46.108258,16875,0.0975,0.0946,0.1184,0.0386,0.0211
48157673300,46.980984,7258,0.1011,0.1481,0.137,0.1586,0.078
48157673400,33.542626,25696,0.0927,0.1138,0.3013,0.0554,0.0499
48157673500,3.833055,8221,0.1485,0.1189,0.3502,0.1299,0.111
48157673600,3.312359,7746,0.086,0.1268,0.148,0.0633,0.039
48157673700,3.439408,2629,0.9645,0.0852,0.3969,0.7921,0.6724
48157673800,5.386436,10623,0.3896,0.1295,0.6555,0.4243,0.3731
48157673901,2.010105,8875,0.1468,0.0887,0.3847,0.202,0.1321
48157673902,3.326036,11654,0.0714,0.081,0.6909,0.0942,0.1121
48157674000,1.863371,8207,0.3266,0.5817,0.5828,0.3587,0.4169
48157674100,1.610281,7369,0.1589,0.0845,0.4399,0.0913,0.1
48157674200,2.239563,5180,0.1257,0.0603,0.3917,0.034,0.0365
48157674300,2.88506,9259,0.2915,0.1408,0.6014,0.0307,0.1365
48157674400,11.365072,19477,0.1222,0.0812,0.659,0.1276,0.1402
48157674501,8.832199,14142,0.1249,0.1412,0.6098,0.1911,0.1774
48157674502,25.963481,20152,0.2078,0.1525,0.4394,0.0802,0.1292
48157674601,1.230899,3628,0.0234,0.4068,0.1532,0.3796,0.158
48157674602,10.66335,9632,0.0129,0.3825,0.2529,0.0391,0.0461
48157674603,0.97116,6248,0.3819,0.3963,0.4388,0.0775,0.2406
48157674604,2.867333,5260,0.1675,0.1467,0.6243,0.1287,0.1728
48157674700,8.047964,15077,0.312,0.2544,0.584,0.7598,0.4647
48157674800,1.507067,5814,0.6626,0.6893,0.7791,0.8868,0.8176
48157674900,3.677333,6079,0.909,0.9814,0.8523,0.9977,0.9962
48157675000,1.523128,3419,0.7762,0.9468,0.8036,0.9409,0.9478
48157675100,2.994606,11208,0.4512,0.8284,0.6658,0.8368,0.7089
48157675200,2.341641,5862,0.8117,0.8255,0.8663,0.9472,0.9391
48157675300,3.620601,6911,0.7879,0.7702,0.6536,0.9678,0.9026
48157675400,54.784654,8122,0.5371,0.2934,0.6593,0.4182,0.4833
48157675500,110.373927,17695,0.2239,0.2044,0.4547,0.4199,0.2709
48157675600,102.894637,7315,0.2335,0.411,0.4883,0.836,0.4714
48157675700,90.210384,6456,0.5227,0.759,0.483,0.859,0.682
48157675800,124.183187,3281,0.7125,0.8671,0.5488,0.1813,0.5812
48201100000,1.469491,5063,0.2341,0.0318,0.3506,0.8559,0.2942
48201210100,0.255804,6820,0.3922,0.0485,0.6641,0.7038,0.4146
48201210400,0.700509,4403,0.9497,0.8657,0.9135,0.9893,0.9921
48201210500,0.830878,5479,0.92,0.6953,0.9447,0.9068,0.9483
48201210600,0.901076,5273,0.3704,0.6625,0.7621,0.29,0.4747
